i1,i2,i3,i4,label,template
15934,2879,632,8569,0,0
4733,23422,13816,9417,1,5
6139,16248,13122,19617,0,2
9897,9596,14585,19429,0,1
12640,8335,17518,15764,1,6
6714,12054,14838,12436,0,2
19534,20367,16009,12995,0,2
10419,17613,10040,15606,1,6
654,14314,8871,4306,0,2
20926,11174,14763,17831,1,1
937,9953,6655,15201,0,1
5121,1270,9316,21132,0,1
11598,18868,778,12941,0,3
20743,15694,14288,1502,1,5
22037,5423,3426,14756,1,4
23486,4727,9064,11612,0,1
6877,18520,15269,9816,1,1
3462,2359,4604,7910,1,4
10643,15965,18487,23268,1,5
18700,20520,3387,12325,1,5
15256,21064,5466,5743,0,1
14343,21284,2254,14279,1,2
8065,6127,8506,24187,0,2
20527,3780,10932,10138,0,1
324,2538,21157,5297,1,2
16100,5309,4543,20408,1,5
17987,9331,3487,5186,1,1
539,13923,5117,1134,0,1
4669,2862,23722,5453,1,5
6732,3194,11917,16179,1,2
21899,19934,4785,20595,0,2
11435,18530,6795,16893,0,2
13181,4475,13774,8018,0,2
19021,18321,23070,2787,0,2
7964,13243,21011,447,0,1
3220,9079,6065,21092,1,1
9127,5194,471,1634,0,1
5972,12195,9188,2819,1,6
22759,9175,14476,17997,0,2
10512,6727,4761,7934,0,3
7375,5016,20230,19262,1,1
15008,1251,1510,21696,0,3
1690,1274,19191,22015,0,1
17298,14492,16688,20162,1,6
15208,23944,2184,2307,0,2
24349,5390,10404,7355,0,1
13773,2752,15823,9831,1,1
22336,4912,23222,9210,0,1
2048,10468,20845,5997,1,1
17165,13017,16907,16734,1,2
563,21889,22645,14693,0,3
11051,16137,13905,17371,0,2
9259,15380,15431,2391,0,2
17909,2774,2655,2431,1,7
19917,7141,23692,21997,0,1
17301,2678,15331,14139,0,1
12240,8617,10996,14870,0,2
18557,14613,18263,3863,0,2
17068,10112,13429,21603,1,2
10434,20400,14304,14841,0,1
20465,13375,9479,21116,1,1
7397,11860,21196,18670,1,7
7370,10454,22106,18671,1,5
24379,14759,18358,20229,0,2
11151,11600,4801,21853,0,0
23458,19216,2095,97,0,1
2735,23994,1479,22258,0,3
17638,1731,5394,10087,1,6
20468,3089,15182,1264,0,1
4378,17851,9498,14137,0,1
14039,17663,4058,9479,0,1
16808,6400,908,2514,0,1
17410,17052,19938,12787,0,3
11763,14314,12285,4325,0,1
18983,554,7314,22339,0,1
2600,18574,19194,888,0,2
4599,22642,709,23334,1,1
20871,13827,17248,6393,1,4
20511,18398,8514,18253,0,2
10163,3988,11582,21925,0,1
20259,13240,2854,14523,1,5
13672,12981,9672,17123,0,2
19313,13716,24793,8162,0,1
7853,740,17882,5382,1,2
21793,18867,18384,11366,1,1
8115,6309,12523,2403,0,2
18645,4693,15856,763,1,5
2241,6726,12751,15134,1,6
3039,23538,17663,7094,1,5
22046,24700,13967,735,0,1
20426,16232,8278,19177,1,2
10003,11787,14354,18973,1,1
21345,15419,5403,892,1,5
14470,17552,10395,13460,1,6
23878,5901,13450,18084,1,5
5196,21094,14798,15596,1,1
17223,16819,2057,3956,1,5
55,11963,23884,7670,0,1
8698,14267,8234,13613,0,2
20881,18937,16423,4825,0,0
7864,21263,19681,2485,0,3
10015,18005,4720,19952,0,1
1213,6457,3481,5696,0,1
1286,9057,438,10574,0,1
20928,10058,24203,16653,0,1
17253,14021,8646,8429,0,2
24631,306,17678,13746,0,1
20669,10540,19175,7498,0,2
15163,23474,16969,23611,0,3
2426,6762,16832,15001,0,1
13835,2841,8206,10725,1,5
18119,8553,19511,10940,1,5
3836,13192,505,12439,0,1
10580,24092,6135,14386,1,6
11707,23727,11852,13916,1,6
3393,18382,24052,14431,0,2
20144,17266,6744,5218,0,3
12375,17943,15889,24569,1,5
14538,4760,12331,1594,0,1
7682,19334,22640,15965,0,1
4061,9995,20947,11995,0,2
11374,20158,4345,13362,0,1
20385,11923,20239,10216,0,0
17904,15076,7635,7128,0,3
24600,3655,23818,10596,0,3
24100,13763,11519,4136,0,3
8401,14714,13433,3782,0,2
3049,19826,24979,3865,1,1
8397,24830,23351,168,0,1
10254,11506,20813,23404,0,2
11519,8166,22407,2517,0,1
1270,24547,21079,6249,0,2
12200,11700,22316,6416,0,2
19734,8239,17445,175,0,2
21447,11920,4317,11187,0,2
24461,871,5796,4539,1,4
14153,1183,6113,21942,1,2
22760,3968,17440,3712,1,7
10845,16542,9814,23839,0,3
23469,1624,2619,22855,0,1
20973,2087,10754,15072,0,1
20187,21558,11170,14275,0,0
19808,3052,20023,4181,1,5
6863,23649,6616,8450,1,4
10015,4917,8890,12431,0,3
33,21954,9774,8143,0,1
467,6123,23767,6839,0,2
19327,2755,10296,22587,0,1
333,24734,9658,17818,0,1
8968,22113,24488,15341,0,2
17904,24625,17750,8116,0,2
16290,6599,18838,11134,0,2
4367,13023,5886,6299,1,5
999,24222,4728,17019,0,1
6213,3376,15180,11224,1,6
16322,14328,20024,14923,0,1
10780,14464,12521,18567,0,2
12342,2087,21412,13904,0,1
16509,19801,4060,19624,1,5
19457,13957,19968,9577,1,6
16609,24722,16639,12163,0,2
7653,2528,7442,15578,0,0
23615,21858,14225,23278,1,5
11292,7940,20969,8853,0,1
19488,707,9174,6953,1,5
16230,24583,272,15246,0,3
14563,9388,17542,23614,0,0
8476,5635,10622,21354,0,1
8500,15371,12971,5990,0,3
23429,6540,19816,16640,0,3
13841,480,9643,13230,0,0
5388,21590,8551,15707,0,1
6375,5204,4837,7111,0,2
191,16280,3490,22076,1,1
20033,17296,6030,12788,0,1
17849,24626,9161,1046,0,1
13063,10499,181,24201,0,0
11596,8793,21889,7652,0,1
918,8681,15324,5359,0,1
12531,22851,21617,1855,0,2
24552,15816,548,2627,0,2
17335,20934,22863,8858,1,6
5766,12687,17271,10396,0,2
1270,19173,17902,5994,1,2
7453,17349,23163,19025,0,2
19067,18109,4961,5625,0,1
109,6452,873,19325,1,4
3099,10969,1311,15110,1,4
4529,11715,1338,16181,0,2
4248,835,23154,8345,1,5
14984,22335,13095,24129,0,1
7331,3960,11722,22813,0,2
15265,16498,7576,20808,1,5
15127,3768,15290,524,0,2
11648,17930,19227,21250,1,5
18612,24238,9772,9519,0,1
1287,11419,10678,10727,0,2
14424,2366,17806,22427,0,2
11662,2731,14601,22011,0,1
772,10048,16580,21648,0,2
12702,840,19845,23123,0,2
15613,4692,18126,16367,0,1
17733,6546,19883,23106,0,3
15757,4854,20549,21282,1,2
3736,16558,19143,15032,0,0
22292,12080,21324,1990,0,1
9492,10519,8214,545,0,0
20872,17733,7855,8207,0,2
19924,10113,11321,7618,1,1
9299,3153,24883,21552,0,3
7638,20138,22095,1792,0,3
16115,17475,8126,23354,1,6
6378,6282,8798,20828,0,1
6224,9544,11813,24235,0,2
1954,14727,23812,15218,0,1
20170,23075,24985,8810,1,5
5709,6667,5320,16297,0,1
3933,24459,6592,21206,1,5
23374,18126,23517,6400,0,2
22657,11740,17341,6617,1,5
4703,22111,2032,17629,0,1
22287,8988,10292,7645,0,2
19475,19675,14023,2105,0,2
13615,2350,21416,22582,1,6
3900,859,14556,432,1,7
11127,2300,14018,12066,0,1
17294,23938,1971,5467,0,2
2179,5968,1598,4497,0,1
18449,14768,6118,11058,0,3
10759,20018,4960,1746,1,2
20517,5537,5821,9419,0,2
12698,23874,14688,17238,0,0
17441,21396,8550,15181,0,1
22602,22520,2236,21280,0,2
23851,4749,12381,11900,0,2
19246,15016,23485,14160,0,0
14969,15637,15668,15809,0,1
23458,16638,6873,8127,0,2
1800,13580,7737,2569,1,5
16584,18216,10147,23929,0,1
11040,24078,13031,22024,0,2
8261,8137,6331,13791,1,1
4212,16684,15587,24234,1,2
24008,21407,24845,1531,1,5
8651,7310,15871,13658,1,5
7691,10236,13263,17835,1,5
10879,4458,21845,12673,1,2
12549,3752,22482,17763,1,5
670,3670,9632,6705,0,3
4388,1199,21781,21956,0,3
5976,3341,15154,13490,0,2
8699,4382,11033,15402,1,6
24984,4534,4521,4286,0,1
16627,4697,20680,15624,1,5
16221,9815,1381,17715,0,1
14068,20250,5169,16687,1,1
3837,23688,16794,3468,1,6
1131,531,22489,735,1,5
10635,19288,20998,8393,0,3
6264,1487,7379,9661,0,1
2072,12477,22595,13499,0,2
17760,849,4261,23246,0,2
9962,2087,3303,17835,0,3
8177,11196,24398,12363,0,3
264,1177,357,18042,1,5
21651,2698,7723,17870,0,2
1993,3441,659,9852,0,1
98,4260,1504,2842,0,2
15311,11375,14708,2163,0,1
17934,18447,15253,19129,0,0
13846,6350,5595,16621,1,6
504,11052,3592,12946,0,0
14810,19559,16100,336,0,2
2158,9865,6667,20011,0,3
9646,11993,23413,10607,0,2
6966,10430,7900,2439,0,1
10740,11036,17637,12787,0,1
13593,11153,12937,1775,0,2
4936,5727,24358,1144,1,1
9391,3210,4695,21712,0,0
22811,21237,17336,20201,0,1
18488,4775,3783,19815,0,1
22448,21373,4300,5993,0,0
19990,5560,3913,16911,0,1
13249,21599,16844,18718,1,5
15054,6274,13391,991,0,2
760,896,911,14308,1,6
6629,5379,6052,21785,0,2
20058,19710,24282,444,1,5
6679,18216,21581,6848,1,5
14660,13757,9261,6910,0,1
18731,14157,20085,195,0,2
3355,2619,23241,285,0,2
10161,8981,7,345,0,3
3075,22550,20146,14092,1,5
7047,31,3251,1283,0,1
4266,19654,22970,21696,0,2
13983,23018,18236,14414,0,0
16409,8080,12208,3687,0,2
18021,15395,914,10403,0,2
13976,19382,22290,11240,0,2
17032,3816,17295,10505,1,4
10995,7945,16662,5172,0,3
8924,28,22918,17964,0,1
18480,20816,12919,13736,1,5
23521,15765,8768,6180,1,6
5162,7621,5294,14842,0,2
8078,24329,21863,12974,0,3
22742,3791,3853,10282,0,2
18395,8159,19738,19497,0,3
23587,22726,18422,15437,0,2
17820,415,4547,1483,0,1
6826,7318,377,20489,0,2
3065,23103,3480,2734,1,7
16985,18900,13769,1325,0,2
12343,24989,21682,11563,1,2
3302,12684,4965,17228,0,1
15128,19689,13288,19958,0,2
3699,14656,12033,15711,0,1
2923,9444,9116,1979,1,6
17653,1575,8163,8708,1,1
15605,22736,689,19202,0,1
10408,1021,322,876,0,2
406,17907,10811,17739,1,6
20801,10946,1690,14423,0,1
9911,18090,16935,5598,1,5
20493,17524,18122,19423,1,6
18001,21723,106,8743,1,5
16928,21897,10491,1047,0,3
7344,5405,9013,21408,0,1
8271,14331,12121,17233,0,2
2957,5599,1700,5056,1,5
24850,12314,22338,6416,1,1
3529,5271,21577,16083,1,2
19065,15244,11508,15343,1,5
12348,11548,21978,13649,0,0
10059,23597,9475,3316,1,6
22518,8351,22441,24373,0,2
13535,12831,3434,17625,1,5
24413,23295,22203,14679,0,2
13486,16385,14701,20637,0,2
5025,8033,16281,13216,0,1
10580,7459,10339,15150,1,5
1773,21887,22651,21428,1,6
278,20076,18274,8591,1,5
20714,22705,20435,18841,1,6
19785,8629,21398,7358,1,2
15236,10278,8723,3858,0,2
4676,17435,24284,4843,0,2
8398,10650,8771,3239,0,0
816,3090,21728,3817,1,3
15807,16368,18070,16846,1,5
7275,15147,20944,21916,0,0
10348,22499,16460,17101,0,1
12260,223,3234,13559,0,1
871,21513,12675,11060,1,4
13861,12709,23403,6937,0,1
8022,7170,21873,19429,0,1
2735,13299,15771,22458,0,3
4824,24130,19884,1940,1,7
24305,8365,7546,24602,0,3
15019,16161,22570,13962,0,0
7983,9444,19491,23582,0,1
19331,13117,5779,253,0,3
23060,5795,24422,23831,0,1
16759,13412,1201,12971,0,2
22897,21545,6743,3607,1,6
8075,17213,8507,14442,0,1
13067,6347,9398,7291,0,2
6822,20803,4633,474,1,6
10876,10161,12278,8226,0,2
24876,5817,8753,4119,1,1
5465,5455,22213,11272,0,1
22181,12800,5673,17740,0,1
4767,5035,18559,4736,0,2
24670,5890,22815,4721,0,2
637,13307,10178,15102,0,1
11181,1990,11768,2933,0,0
9167,11892,12484,7664,1,6
20064,14585,23575,19769,1,6
23339,23418,15755,19478,1,6
12641,17451,24191,18906,0,0
15683,18898,21053,21494,0,1
1903,15949,16455,16235,0,2
24574,3562,21672,23443,0,1
7537,5010,8466,21475,1,1
16368,17282,10315,22185,0,3
8819,14091,16093,5100,1,5
12553,18175,14131,23766,1,5
16972,11935,6541,20404,0,2
19298,2812,2823,19730,0,2
23242,14274,24052,15422,0,1
6611,12117,14524,22236,0,1
12652,18350,4909,17511,1,1
1801,19265,22970,18887,1,5
573,13393,18194,24236,1,5
4304,8363,7921,5374,0,1
7701,18490,12195,4469,0,1
12445,7211,1838,23606,0,2
10660,17882,6990,7405,0,3
4582,24364,13190,610,1,6
21762,17928,24975,13418,0,0
24867,10440,20589,18970,0,1
21579,9200,1437,9561,0,0
1715,19987,20784,1975,0,1
23125,22620,21439,1570,0,2
662,13611,23786,9068,1,5
16073,15170,5670,5905,1,2
15593,11953,19069,8247,1,5
16882,15893,12347,15678,0,3
158,10041,23790,22622,0,1
18159,8148,16900,3916,0,3
24587,21346,19511,16853,1,5
3462,22107,17087,18212,1,4
1273,149,14795,17245,1,1
5569,15535,21265,18918,0,1
7844,18248,8181,1759,0,3
20056,179,9896,19486,0,1
3152,13528,16263,24251,0,1
8787,7401,23679,22526,1,4
22557,18683,13380,3015,0,3
12616,4551,15605,19351,0,1
6850,16844,10050,2052,1,1
13193,4912,19819,22214,0,1
4858,6985,9829,12174,0,1
21943,1574,10860,17167,1,6
19062,15405,12369,7630,0,0
20157,24123,21243,24295,1,1
2815,19874,20658,24746,1,5
11075,20054,17088,3399,0,0
18591,6746,15309,7809,0,1
14071,15893,24473,11958,1,6
24062,2106,13479,18063,1,6
20138,6712,12644,18371,1,2
8657,460,10717,23065,0,1
13817,7200,1326,9785,1,5
978,4523,22986,14687,0,0
772,21433,23166,3323,0,1
13172,20931,8360,1439,0,0
15844,20525,18987,4291,0,2
18720,475,9324,21033,1,5
1294,20607,4602,6629,1,6
7401,18572,17711,16593,0,1
10572,4827,11231,7343,0,1
9032,20331,24645,23001,0,3
2518,8166,19475,7663,0,1
13072,154,20211,12623,0,2
17294,24623,7085,1716,1,5
19612,1976,13554,14210,0,1
22123,9085,6657,10573,0,1
15684,6117,17217,18384,1,5
11257,14121,12620,773,1,5
23453,8955,16780,5283,0,1
13702,7352,17285,18971,0,1
3666,4087,24442,24519,0,0
18821,21634,7640,6737,0,2
21686,18364,19199,15944,0,1
9579,12254,2860,24861,0,2
16616,8811,16504,2420,0,3
11913,12723,13140,22693,1,6
5383,10240,16658,24004,0,2
9766,4466,21778,18424,0,3
5022,11503,17609,22386,1,6
14583,449,16270,18348,1,6
17018,12530,10870,17255,0,2
4660,4384,23739,7067,0,2
15109,8298,11934,1143,1,6
6094,17679,17739,5366,0,2
20561,1846,23697,497,1,3
7095,24406,18962,18726,1,6
24001,7570,2953,1816,1,6
15564,9994,3613,23004,1,6
20794,22059,11193,277,0,1
15210,19268,20893,17234,0,1
10503,7981,10201,20155,0,2
10665,20999,3442,6203,0,2
2635,12326,11461,4549,0,2
1546,24669,24990,21231,0,2
20044,3193,21824,1686,0,1
14002,6583,23766,23277,0,2
1406,9061,5494,5337,0,0
681,17220,20294,1080,0,1
22113,18630,19834,21748,0,2
2987,21464,21625,15348,1,5
10665,3482,11209,6271,0,2
11545,24354,10722,20555,1,4
13729,10260,14753,3766,0,1
21938,21168,21583,13144,0,1
24794,14191,10462,6194,0,2
14030,5655,13564,21509,0,1
22885,17798,1184,2572,1,1
14165,8151,22526,21012,0,2
1892,15450,7342,11144,1,6
21706,9762,4870,24331,1,5
15579,7611,6306,18089,1,1
1636,3761,23472,2060,1,1
851,21399,14935,5705,1,5
20572,6971,22005,1382,1,2
5341,5631,4734,13248,1,2
11497,9825,5156,9870,0,0
19481,6310,7359,22137,1,6
15818,15016,9636,24976,1,6
20990,24397,2215,18966,1,5
22924,15733,13123,21283,1,6
21843,13397,13286,24661,0,3
8847,13688,10272,15679,0,1
479,14175,23393,9407,0,1
4452,3036,12040,20885,1,6
19596,21376,17770,4077,0,3
8622,16770,20060,735,0,3
14686,12406,10737,8337,1,6
4905,17014,4265,7074,0,1
15714,6923,23418,13666,1,2
7077,6962,11844,1310,0,1
5673,3922,4347,2897,1,5
14607,393,17966,11333,0,2
11180,3437,6008,24368,1,5
21443,12793,11362,15755,0,1
9272,19444,11502,9532,0,3
4489,23759,8221,20734,0,1
6583,15119,22440,24111,1,5
12036,10263,16580,3709,1,4
19391,10760,7588,21512,0,2
23166,15029,2158,6192,0,1
224,23199,10066,3284,1,6
11114,11197,21844,10327,0,2
19494,4915,20819,1842,0,1
23725,13411,1263,22871,0,1
7647,24536,885,5652,1,1
21937,6578,17810,12544,1,6
15996,21914,11501,19835,0,0
14550,24205,1207,14809,1,3
4052,2043,5381,1460,0,0
17236,18606,13022,195,0,1
5970,14668,3790,17344,1,2
12092,24513,5568,15450,0,2
13883,9603,7579,534,0,1
14948,16959,14023,6478,0,2
13832,17315,7377,23131,0,1
7169,14170,18238,2039,0,2
4170,336,20508,23121,0,1
20357,14682,5054,19513,0,2
15368,9123,16218,590,0,2
24275,689,6646,8620,1,5
10873,20136,17528,19547,0,1
8625,22481,23361,23079,0,1
2767,24166,8250,14778,1,7
22418,1737,7394,18496,0,3
628,3442,18671,15077,0,1
24813,335,2156,2360,1,5
13473,24537,14010,14691,0,1
23229,5526,23258,6590,1,6
2271,1509,2835,15116,1,6
18317,9464,14746,17871,0,1
147,21875,17629,18782,1,6
22685,4373,1710,21712,0,0
12488,15889,3024,22202,0,1
16510,12282,5559,21916,1,2
7161,13401,7579,18984,0,1
4046,319,14839,11515,1,5
1039,14477,7139,6830,0,0
98,22282,11961,19171,0,3
21329,16792,422,10314,1,5
6127,8043,1415,19118,0,1
6463,1074,1506,22583,0,2
23587,6140,20384,22339,0,2
12004,11097,10037,23485,1,1
4155,16535,17657,18838,0,1
18685,883,10153,18256,0,1
21535,8796,19475,15582,1,1
6028,1926,13530,3505,1,6
9939,10014,6582,4095,1,5
20789,23125,24956,11701,0,2
3409,19521,21843,2392,0,1
6183,5651,10151,23035,0,1
2793,17397,8095,6703,1,6
21680,2482,6435,24692,0,2
22330,19973,18377,1863,1,2
24134,11018,19480,4843,0,2
9688,13913,24949,2644,0,2
7726,14791,15038,10489,0,1
19865,13407,1285,11366,1,4
10545,6190,11438,7402,0,1
24552,3591,8378,15491,0,1
3331,12913,15554,12832,0,3
1015,12946,5190,5094,0,1
7165,14883,4615,5975,0,1
19840,21593,9228,5048,1,4
10549,22753,14088,6750,0,1
16892,13031,12372,20223,1,5
3754,14878,16359,10620,1,1
2610,5849,16153,20690,0,3
13445,6982,10207,12146,1,5
4130,16392,12161,2238,1,6
9489,11923,8685,5362,1,6
3925,21657,10096,15392,0,1
1995,18082,19564,16787,1,6
6938,9450,16066,20553,1,6
8578,7809,9227,19694,0,3
5569,20843,7144,20500,0,1
17884,9905,5819,21704,0,1
6245,2809,19767,17422,1,2
18694,13955,14529,19903,1,6
15030,19609,21474,21174,0,1
22853,2399,8460,22280,0,3
8724,6677,22351,22441,1,2
4699,9613,21792,4329,1,2
16417,10314,3457,14124,0,1
9983,15562,14393,7689,0,1
6168,20062,20583,8840,0,3
24852,17197,0,18053,0,0
20746,4040,11582,4089,0,1
15223,11220,11647,14484,0,1
13341,12239,18224,23572,0,1
6665,2659,18139,15573,0,0
17372,21185,16940,23014,0,1
5856,1455,22610,11823,0,2
10305,6020,4167,17542,0,1
15410,6726,23537,17518,0,2
7317,12908,2477,7818,1,5
11133,19811,18456,18763,0,1
5556,7308,14483,10456,1,2
21336,9933,1116,3929,1,5
20483,10293,7355,5094,0,2
21774,18194,17969,8502,0,0
13204,12704,8415,7719,0,0
11513,15108,14404,19261,0,1
13000,4346,5838,16379,0,3
18196,19233,2788,20060,1,2
23328,3004,12391,3416,0,0
6358,1744,6303,10226,0,1
14470,10971,18315,1849,0,2
16234,14784,16905,14495,0,1
20517,1440,24033,14732,0,3
17636,8511,9207,22079,0,2
12169,1967,11115,13705,1,5
16952,4742,24774,9862,1,5
11407,15851,10799,2910,0,0
9217,9408,11904,20823,1,5
24766,24716,1588,6084,0,1
17155,2185,22188,14298,0,3
395,11555,9905,9057,0,1
18149,18832,24634,18624,0,1
6225,12641,16131,1077,1,2
14112,17515,6249,9126,1,6
22504,4452,7536,3690,0,2
2912,20532,16179,1410,1,5
16550,6284,16432,10283,0,2
6220,15918,23094,17993,1,6
12337,11783,24147,8993,0,1
7989,9833,16628,2394,0,2
1468,4393,15064,14696,1,6
2508,16749,4995,12629,0,1
11377,4553,17655,3184,1,5
22992,15657,859,5095,0,2
10530,11381,20782,19984,0,1
18438,21396,9566,5473,1,5
544,21059,16102,12800,1,6
854,13833,10539,18927,1,6
10801,8196,13019,3123,1,6
15206,15208,19583,10516,0,2
289,15021,5665,13297,0,1
17083,9645,9870,9890,0,2
24927,14493,22653,6864,0,1
9320,10149,23386,22842,0,1
9125,21701,17815,19323,0,1
5736,654,21362,20378,0,1
9013,374,9478,12629,1,2
18823,11268,1883,8303,0,2
16167,3258,22916,17291,0,0
21478,19683,4522,635,1,6
15346,7339,20922,16388,1,1
6579,14168,13258,7636,0,3
23230,20915,13857,4629,0,0
23182,10320,6617,6920,0,0
12357,21975,17444,16361,1,2
5246,16077,11241,5802,0,2
18347,22872,13916,11862,1,2
17464,2804,3948,10958,0,0
5315,22648,2738,17295,0,1
15633,16945,20418,12621,0,2
3349,17883,8092,9293,0,2
517,24523,4749,1359,0,1
8130,9667,20129,8836,0,0
17181,20668,14319,17242,0,1
14035,8659,7395,16391,0,0
6559,10175,8350,10875,1,5
19715,7941,4893,9911,1,6
7779,7756,11541,10187,0,1
264,24014,12865,19321,0,3
4516,18323,23053,11483,0,2
1837,21647,1047,7718,0,2
4480,16840,2984,10754,0,1
6262,20283,3693,15854,1,6
2773,7725,19367,1876,0,0
3636,18855,170,6626,0,2
13180,18110,10435,6845,0,1
23470,9832,17475,4608,0,0
4002,24148,5045,8973,0,2
20461,23962,4879,13084,0,1
17758,10461,709,12528,1,1
3332,12436,18932,360,1,7
20483,10522,14610,11471,0,3
