i1,i2,i3,i4,label,template
1444,1313,1370,1351,0,2
1366,1451,1356,1384,0,1
1371,1316,1367,1386,0,3
1372,1461,1321,1327,0,2
1373,1470,1369,1392,0,2
1474,1374,1330,1377,1,1
1376,1476,1338,1383,0,2
1379,1478,1479,1385,0,3
1380,1340,1391,1341,0,1
1399,1490,1352,1387,0,2
1406,1388,1499,1394,1,5
1505,1402,1358,1400,0,1
1411,1401,1362,1414,0,1
1417,1378,1420,1404,0,1
1418,1507,1416,1382,0,2
1510,1422,1424,1425,1,2
1423,1511,1389,1390,1,6
1426,1524,1527,1393,0,3
1427,1433,1429,1431,1,4
1449,1528,1432,1436,0,2
1460,1441,1446,1438,1,5
1531,1453,1452,1459,1,2
1536,1395,1454,1463,0,1
1462,1547,1396,1465,0,2
1467,1551,1468,1464,1,4
1563,1403,1466,1475,1,6
1472,1405,1469,1477,1,4
1485,1569,1407,1473,0,1
1493,1481,1409,1486,1,5
1501,1574,1514,1482,0,1
1515,1578,1488,1491,0,2
1410,1494,1492,1495,1,2
1516,1584,1412,1497,0,3
1517,1415,1520,1498,1,5
1530,1588,1500,1503,0,2
1546,1506,1428,1502,0,1
1549,1590,1430,1519,0,2
1435,1521,1504,1522,1,1
1552,1518,1594,1437,0,1
1553,1596,1439,1535,0,2
1559,1604,1440,1523,1,5
1560,1606,1541,1607,1,6
1562,1612,1443,1525,0,0
1564,1445,1619,1533,0,1
1567,1543,1620,1544,1,5
1625,1550,1534,1627,1,6
1571,1540,1447,1542,1,5
1639,1642,1448,1450,1,2
1572,1645,1556,1545,0,3
1581,1650,1548,1455,1,6
1582,1585,1557,1554,0,2
1659,1456,1566,1561,0,2
1586,1576,1457,1573,1,5
1597,1583,1663,1458,0,1
1598,1669,1471,1480,1,6
1601,1670,1592,1577,0,2
1602,1605,1671,1483,0,1
1609,1675,1615,1680,0,1
1696,1484,1608,1580,0,3
1622,1720,1610,1587,1,7
1721,1487,1617,1589,0,3
1629,1722,1618,1489,0,2
1641,1644,1496,1621,0,2
1646,1729,1591,1508,0,2
1648,1599,1623,1600,1,5
1656,1628,1603,1631,1,6
1731,1509,1611,1632,0,2
1658,1732,1512,1633,1,6
1661,1736,1649,1513,0,2
1664,1660,1741,1613,0,1
1676,1746,1678,1526,1,5
1683,1748,1684,1529,0,1
1690,1754,1532,1762,1,6
1768,1614,1537,1665,0,1
1692,1774,1674,1616,0,0
1782,1538,1783,1637,1,1
1693,1787,1681,1788,0,2
1702,1682,1688,1640,1,5
1791,1539,1555,1697,1,3
1792,1558,1565,1643,1,1
1703,1568,1653,1699,0,2
1708,1700,1795,1570,0,1
1709,1575,1704,1654,0,1
1711,1796,1657,1666,1,6
1718,1719,1579,1706,0,2
1593,1707,1667,1713,1,6
1726,1672,1802,1595,0,1
1734,1809,1813,1723,0,1
1737,1624,1725,1673,1,6
1738,1815,1626,1730,0,3
1740,1630,1685,1686,0,2
1743,1634,1687,1689,0,2
1750,1691,1819,1635,0,1
1751,1636,1827,1735,1,5
1830,1755,1759,1701,1,5
1831,1638,1763,1710,0,1
1756,1837,1765,1647,1,5
1770,1838,1764,1715,0,0
1771,1844,1767,1717,0,3
1781,1846,1804,1727,0,2
1651,1807,1652,1728,1,1
1784,1851,1655,1816,0,2
1859,1733,1662,1820,0,1
1785,1867,1668,1739,0,0
1677,1824,1742,1679,1,6
1790,1694,1825,1747,0,2
1871,1695,1749,1826,0,2
1875,1698,1834,1752,0,3
1793,1879,1835,1705,0,2
1799,1712,1841,1760,1,6
1808,1714,1881,1775,0,1
1810,1716,1724,1778,1,5
1818,1884,1744,1794,0,0
1821,1888,1745,1843,0,0
1822,1895,1848,1798,1,4
1823,1899,1753,1853,0,0
1905,1757,1854,1803,0,2
1828,1906,1758,1855,0,1
1909,1761,1910,1806,1,5
1913,1766,1856,1811,0,3
1916,1769,1772,1858,1,3
1833,1865,1773,1817,0,1
1839,1845,1918,1872,0,1
1920,1776,1874,1849,0,3
1924,1928,1857,1777,1,2
1840,1934,1779,1882,0,1
1942,1945,1860,1890,1,2
1842,1891,1947,1861,0,1
1850,1780,1786,1864,1,5
1862,1951,1893,1877,0,3
1953,1907,1789,1878,0,1
1866,1797,1908,1880,0,1
1868,1912,1883,1886,0,2
1870,1919,1889,1896,0,2
1876,1903,1955,1911,0,1
1887,1957,1915,1800,0,2
1892,1925,1966,1801,1,5
1894,1926,1805,1922,0,1
1898,1968,1927,1970,1,6
1901,1812,1929,1931,0,0
1904,1982,1933,1939,0,3
1921,1923,1814,1944,1,4
1930,1829,1954,1935,0,2
1943,1983,1832,1963,0,0
1987,1836,1977,1990,1,6
1949,1989,1847,2001,0,1
1952,1991,1994,1938,0,1
1958,2016,1997,1852,0,1
1959,2004,1946,2017,0,2
1964,1956,1863,1960,0,1
1965,1971,2009,1869,0,1
1969,2019,2011,1972,1,5
1974,2018,1976,2025,0,0
1975,2023,1985,2027,0,2
1979,2026,2029,1873,0,2
1980,1996,2043,1885,0,1
1984,2000,2032,2008,1,6
2046,1897,2014,2034,0,0
1900,2044,2030,2047,1,5
1986,2051,1902,2031,0,2
1992,1914,2039,2050,0,3
1999,2056,2061,2002,1,6
2003,2048,2057,2075,0,1
2005,2052,2006,2070,0,1
2073,2076,1917,2054,1,5
2007,2058,1932,2077,0,1
2074,2078,2083,2085,1,6
2012,2082,2081,2087,0,1
2112,2084,2091,2086,1,2
2022,1936,2125,2103,0,1
2126,2106,2088,2107,1,1
2024,2145,1937,2115,0,1
2033,2146,2109,1940,0,2
2035,2124,2152,2110,0,1
2036,2127,2037,2116,0,1
2038,2133,2155,1941,1,5
1948,1950,2137,2138,1,2
2042,1961,2153,2117,0,1
2045,2154,1962,2129,0,1
2059,1967,2160,2135,0,2
2062,2157,1973,2158,1,6
2063,2178,2161,2136,0,0
2064,2184,2139,2140,1,6
2185,1978,2164,2142,0,3
2065,2165,2187,2143,0,1
2067,2166,2189,1981,0,1
2190,2150,2198,2162,1,1
2071,2199,2204,2170,1,5
2072,2205,1988,2171,0,0
2079,2080,2168,1993,0,2
2090,2174,1995,2176,0,1
2093,2207,2179,2209,0,2
2094,2221,2180,1998,0,2
2095,2010,2188,2202,1,6
2013,2175,2015,2210,1,1
2096,2227,2215,2231,0,2
2097,2216,2233,2181,0,1
2236,2020,2217,2183,0,1
2100,2238,2021,2104,1,6
2114,2243,2028,2229,0,0
2248,2249,2040,2230,1,2
2041,2191,2234,2192,1,1
2049,2242,2053,2245,1,1
2118,2252,2247,2055,1,6
2119,2262,2060,2250,1,7
2120,2264,2251,2122,1,6
2128,2268,2267,2195,0,0
2270,2066,2273,2196,0,3
2131,2274,2068,2200,0,0
2144,2203,2277,2069,1,5
2280,2212,2089,2214,1,1
2147,2149,2223,2092,0,2
2282,2276,2285,2228,1,5
2151,2286,2098,2232,1,7
2156,2288,2290,2235,0,1
2163,2099,2292,2240,1,5
2169,2278,2101,2244,0,1
2293,2102,2287,2246,0,1
2172,2299,2105,2260,0,1
2173,2301,2294,2265,0,1
2177,2303,2266,2108,0,2
2182,2298,2300,2269,1,5
2186,2304,2271,2316,0,2
2193,2321,2302,2306,1,6
2194,2111,2328,2113,1,5
2197,2121,2272,2311,1,6
2208,2123,2335,2313,0,1
2213,2130,2341,2132,1,5
2218,2349,2134,2279,0,0
2219,2351,2220,2361,0,1
2224,2141,2319,2291,0,1
2226,2295,2237,2148,0,1
2367,2323,2296,2307,1,6
2239,2368,2159,2371,1,6
2253,2372,2310,2167,0,2
2254,2384,2385,2327,0,1
2255,2386,2201,2329,0,1
2256,2206,2391,2330,0,1
2257,2317,2284,2402,0,1
2407,2211,2322,2410,1,6
2308,2312,2336,2222,0,2
2314,2415,2337,2225,1,6
2241,2340,2258,2354,1,1
2423,2259,2362,2374,1,2
2424,2261,2378,2324,0,3
2315,2318,2429,2433,0,2
2326,2263,2390,2333,0,3
2332,2439,2448,2334,1,5
2345,2395,2347,2275,0,1
2348,2454,2281,2455,0,2
2350,2460,2399,2339,0,1
2355,2469,2283,2342,1,4
2356,2483,2412,2343,0,2
2363,2344,2289,2416,0,1
2364,2422,2297,2346,0,1
2370,2353,2305,2366,1,5
2373,2485,2426,2383,0,0
2495,2389,2496,2309,1,1
2376,2392,2505,2431,0,1
2377,2379,2511,2521,0,2
2380,2525,2396,2398,1,6
2382,2526,2320,2441,1,7
2387,2535,2447,2409,0,2
2388,2536,2411,2458,0,2
2393,2325,2538,2331,0,1
2551,2418,2338,2462,0,1
2400,2352,2421,2357,1,6
2403,2463,2358,2427,0,1
2406,2557,2359,2466,0,2
2419,2566,2360,2472,0,3
2420,2442,2365,2475,1,5
2425,2569,2369,2476,0,1
2570,2375,2482,2445,0,0
2428,2581,2487,2451,1,5
2582,2381,2584,2394,1,1
2430,2587,2397,2453,1,5
2596,2602,2456,2491,1,2
2432,2401,2457,2434,1,6
2603,2499,2606,2464,1,5
2438,2471,2612,2404,0,1
2405,2408,2503,2473,1,4
2446,2413,2478,2468,1,6
2414,2480,2504,2486,1,5
2470,2417,2474,2507,1,5
2615,2435,2436,2515,1,5
2479,2490,2437,2516,0,1
2616,2440,2508,2528,0,2
2481,2620,2542,2514,0,3
2484,2443,2543,2518,0,2
2621,2444,2449,2520,1,5
2488,2544,2622,2450,0,1
2492,2625,2452,2522,0,3
2627,2459,2527,2637,1,6
2493,2546,2461,2529,0,1
2465,2467,2540,2549,1,2
2498,2638,2553,2477,0,2
2644,2650,2556,2558,1,2
2656,2565,2489,2559,0,1
2506,2657,2577,2561,0,1
2510,2662,2494,2563,0,2
2512,2676,2497,2599,0,1
2513,2613,2500,2576,0,1
2501,2502,2578,2626,1,2
2517,2689,2690,2583,0,3
2523,2696,2509,2586,0,1
2531,2697,2519,2591,0,3
2532,2699,2703,2631,0,3
2717,2524,2592,2594,1,6
2533,2718,2530,2604,0,3
2722,2541,2645,2609,0,3
2534,2723,2545,2614,0,0
2537,2725,2617,2647,0,2
2539,2727,2548,2624,0,1
2728,2550,2653,2630,0,3
2547,2735,2552,2660,0,1
2554,2555,2560,2636,0,1
2572,2740,2562,2573,1,6
2575,2742,2750,2564,0,3
2588,2590,2567,2649,0,2
2593,2651,2753,2667,0,1
2595,2568,2669,2655,0,1
2597,2670,2673,2661,1,5
2600,2663,2605,2674,1,5
2628,2755,2678,2685,1,6
2629,2760,2571,2664,0,0
2633,2764,2574,2686,0,3
2640,2666,2687,2668,1,5
2765,2773,2579,2688,1,4
2641,2672,2780,2580,0,1
2784,2585,2691,2698,1,6
2787,2589,2701,2679,0,2
2789,2598,2702,2601,1,2
2642,2706,2607,2707,0,1
2648,2714,2790,2693,0,1
2658,2719,2694,2659,1,6
2665,2608,2721,2680,1,6
2683,2610,2695,2733,1,5
2715,2611,2739,2700,0,3
2716,2618,2791,2743,0,1
2720,2726,2708,2795,0,2
2737,2799,2709,2746,0,2
2800,2806,2747,2756,1,2
2745,2619,2710,2758,0,2
2623,2632,2761,2724,1,2
2823,2634,2777,2730,0,0
2749,2831,2734,2635,0,2
2751,2841,2639,2736,0,0
2850,2856,2779,2738,1,2
2752,2643,2781,2741,0,2
2769,2646,2863,2754,0,1
2869,2652,2793,2757,0,3
2774,2874,2654,2763,0,3
2785,2876,2796,2766,0,2
2802,2768,2803,2797,1,5
2882,2671,2770,2675,1,2
2807,2801,2677,2778,1,5
2887,2804,2889,2809,1,1
2808,2681,2810,2783,0,1
2817,2818,2819,2786,1,4
2682,2822,2684,2794,1,5
2821,2692,2825,2798,0,0
2895,2896,2815,2704,1,2
2824,2705,2829,2826,0,3
2897,2832,2711,2837,1,5
2827,2839,2712,2842,0,2
2843,2713,2852,2729,1,6
2844,2731,2834,2845,1,6
2904,2855,2906,2732,1,5
2849,2744,2870,2836,0,1
2917,2892,2921,2901,1,1
2858,2748,2903,2759,0,2
2859,2924,2762,2840,1,5
2860,2767,2935,2905,0,1
2864,2866,2771,2907,1,4
2868,2941,2949,2772,0,1
2775,2908,2851,2912,1,2
2877,2913,2776,2853,0,1
2881,2954,2914,2957,0,2
2885,2854,2958,2923,0,1
2965,2782,2788,2925,1,5
2890,2969,2927,2857,0,2
2893,2898,2970,2792,0,2
2899,2973,2929,2867,1,5
2900,2805,2933,2871,0,2
2916,2984,2811,2872,0,3
2934,2994,2812,2936,1,6
2939,2937,2873,2998,1,6
2947,3008,2953,2875,1,6
2950,3017,2879,2880,0,2
2951,3018,2955,2884,1,4
2813,2962,2888,2894,1,2
3022,2814,2902,2974,0,2
2952,2816,2820,2909,0,1
2960,2828,2982,2830,0,1
2987,2989,2833,2977,1,4
3024,2835,2910,2918,1,2
3027,2838,2979,2922,0,3
3029,3035,2846,2988,1,2
2992,3038,2926,2847,0,2
3048,2848,2996,2930,0,2
3072,2861,3002,2932,0,1
3000,2862,2940,2865,0,2
3074,2878,3003,2942,0,2
3004,2883,3007,2945,0,0
3009,3077,3014,2946,0,3
3012,3078,3028,3020,1,5
3030,2948,3084,2886,0,1
3092,2891,3095,2963,1,5
3031,3104,2911,3025,1,7
3036,2915,3032,2964,0,0
3046,2919,3033,3105,1,6
3049,2920,2971,3052,1,6
2928,3034,3037,2978,1,5
3054,2931,3041,2980,0,3
3121,2938,2985,2943,1,2
3055,3122,2944,3042,1,7
3061,3124,2986,3051,0,2
3062,3125,3056,2990,0,2
3128,2956,3066,2997,0,0
3064,3130,3140,3067,1,5
3142,2959,3075,3079,1,2
3068,3006,3070,3145,0,1
3157,2961,3088,3093,1,2
3071,3161,2966,3010,0,3
3080,3011,3163,3097,0,1
3184,2967,3107,3013,0,0
3185,3112,3120,3016,1,5
3086,3187,2968,3019,0,2
3089,3126,3189,3149,0,1
3190,2972,3192,3039,1,1
3090,3040,2975,3160,0,1
3197,2976,3167,3043,0,3
3098,2981,3170,3044,0,3
3101,2983,3103,3173,0,1
3106,2991,3110,2993,0,1
3114,3203,3047,3053,0,2
3210,2995,3179,3057,0,2
3212,2999,3180,3058,0,1
3118,3213,3183,3076,0,3
3227,3001,3186,3085,0,1
3123,3228,3196,3094,0,0
3129,3230,3201,3100,0,1
3131,3231,3005,3108,0,1
3133,3015,3202,3117,0,3
3136,3237,3021,3119,1,4
3241,3217,3023,3132,0,1
3139,3135,3223,3151,0,1
3141,3245,3226,3152,0,2
3143,3144,3249,3250,0,2
3146,3258,3154,3026,0,2
3147,3232,3045,3156,0,1
3153,3261,3050,3233,0,2
3155,3263,3059,3234,0,2
3164,3248,3271,3162,0,1
3165,3060,3260,3063,0,2
3168,3278,3268,3169,1,5
3174,3281,3274,3171,0,1
3283,3065,3284,3172,0,1
3177,3069,3181,3073,0,2
3195,3081,3285,3188,0,1
3289,3082,3083,3193,1,5
3199,3290,3301,3194,0,1
3200,3304,3287,3209,1,6
3087,3288,3091,3293,1,1
3211,3316,3214,3220,0,2
3309,3096,3318,3312,1,6
3215,3317,3099,3242,0,3
3216,3247,3321,3326,0,1
3219,3347,3102,3251,1,7
3349,3109,3111,3253,1,1
3224,3361,3113,3254,0,3
3327,3265,3328,3266,1,1
3225,3362,3330,3273,0,2
3370,3333,3115,3275,0,1
3229,3371,3116,3343,0,1
3244,3127,3246,3345,1,5
3255,3375,3346,3134,1,6
3256,3137,3348,3277,0,1
3270,3377,3286,3138,0,2
3280,3379,3352,3291,0,2
3292,3148,3384,3298,0,1
3387,3356,3358,3300,1,3
3295,3302,3392,3150,0,1
3296,3305,3360,3363,0,2
3306,3400,3319,3373,0,1
3403,3158,3376,3303,1,5
3404,3159,3308,3380,0,2
3320,3407,3310,3166,0,2
3322,3311,3409,3323,0,1
3175,3324,3176,3401,1,1
3329,3423,3405,3334,0,1
3335,3336,3424,3414,0,1
3425,3178,3337,3340,1,2
3339,3182,3341,3437,0,1
3351,3191,3418,3344,0,2
3354,3438,3426,3350,0,3
3355,3441,3353,3427,0,2
3357,3430,3447,3364,0,1
3359,3461,3368,3365,1,5
3369,3381,3367,3198,0,2
3382,3204,3463,3435,0,1
3385,3442,3205,3374,0,1
3386,3471,3206,3378,0,2
3391,3207,3448,3383,0,0
3393,3472,3388,3208,0,2
3394,3474,3218,3450,0,1
3479,3221,3456,3389,0,2
3411,3482,3222,3396,0,3
3417,3235,3464,3399,0,3
3433,3440,3236,3238,0,2
3485,3239,3240,3408,1,5
3444,3486,3465,3451,1,6
3454,3458,3410,3492,0,2
3459,3493,3470,3412,0,2
3462,3496,3478,3419,0,2
3468,3501,3243,3481,0,3
3503,3488,3428,3429,1,2
3473,3505,3252,3431,0,0
3480,3257,3507,3434,0,1
3259,3436,3489,3439,1,5
3262,3443,3264,3495,1,1
3490,3267,3523,3446,0,1
3494,3535,3269,3499,0,0
3502,3272,3536,3514,0,1
3504,3519,3452,3276,1,6
3511,3542,3279,3563,0,2
3512,3564,3282,3455,0,1
3513,3460,3571,3294,1,5
3515,3576,3466,3521,0,2
3526,3577,3525,3467,0,3
3598,3297,3531,3469,0,3
3602,3299,3606,3550,1,5
3530,3477,3612,3307,1,5
3615,3313,3556,3483,0,0
3533,3616,3534,3484,1,5
3537,3622,3491,3623,0,2
3627,3314,3557,3497,0,3
3645,3315,3649,3500,1,5
3653,3561,3325,3506,0,1
3541,3660,3562,3508,0,3
3544,3661,3568,3569,1,6
3547,3673,3570,3510,1,7
3675,3517,3573,3518,1,5
3677,3331,3520,3332,1,6
3554,3678,3338,3522,0,0
3681,3342,3578,3532,0,2
3558,3366,3545,3683,1,6
3559,3689,3546,3592,0,2
3572,3695,3548,3372,1,6
3575,3700,3390,3593,0,0
3579,3549,3395,3596,0,1
3704,3706,3551,3553,1,2
3711,3713,3397,3555,1,4
3398,3402,3560,3565,1,2
3581,3633,3716,3566,0,1
3583,3634,3406,3636,0,1
3584,3413,3588,3717,1,5
3589,3728,3580,3729,1,6
3415,3638,3641,3587,1,5
3734,3651,3736,3658,1,1
3737,3591,3416,3663,0,1
3745,3420,3605,3421,1,2
3590,3607,3746,3670,0,1
3758,3422,3671,3609,0,1
3763,3432,3672,3610,1,4
3594,3445,3449,3680,1,5
3595,3769,3453,3613,0,1
3597,3457,3770,3620,0,1
3773,3693,3703,3626,1,5
3601,3475,3780,3709,0,1
3604,3781,3710,3631,0,0
3614,3617,3639,3476,0,2
3787,3487,3646,3498,1,2
3618,3792,3721,3509,0,2
3516,3650,3524,3727,1,5
3793,3527,3735,3652,0,0
3794,3738,3739,3655,1,1
3798,3528,3742,3656,0,0
3625,3529,3751,3538,1,6
3628,3666,3539,3761,0,1
3799,3540,3777,3676,0,0
3632,3543,3784,3679,0,1
3552,3788,3685,3790,1,6
3637,3801,3567,3791,0,3
3806,3817,3574,3795,1,2
3640,3818,3582,3686,1,5
3643,3585,3647,3690,1,5
3821,3796,3825,3586,1,1
3648,3826,3599,3691,0,0
3662,3664,3600,3808,1,4
3665,3830,3822,3694,0,2
3668,3603,3834,3696,0,1
3674,3838,3823,3697,0,3
3682,3841,3827,3699,0,1
