digit_1,digit_2,label
36832,26058,9
2259,51478,6
56862,41529,14
27538,48897,5
32704,47487,8
4865,15699,3
6077,8558,14
5226,46909,15
9230,20410,12
20425,41270,13
4008,50589,1
8117,32172,8
28560,40193,9
9122,55655,11
37154,6487,8
28818,31128,9
47629,4082,5
53999,32364,15
40588,17262,4
5088,8331,4
56346,16302,11
20691,35047,7
44243,47967,8
50734,21663,13
45574,25416,5
13916,39044,0
43623,32127,13
12747,14338,11
4,35734,15
38307,32818,4
36959,39702,17
9650,35467,16
3149,56304,10
32889,24118,8
25196,48755,1
9664,30046,8
21633,28532,9
17647,13105,9
19835,48317,14
6786,8385,5
34796,54037,8
9933,38844,17
51577,24126,10
49984,6318,10
2891,24877,4
9433,43034,16
26814,26301,11
35772,19307,11
11357,32503,14
54642,9744,0
14989,10618,10
30710,6335,10
48704,10421,13
46911,38782,9
33814,12336,7
32423,30753,9
28184,28857,2
21282,14881,10
24258,50181,7
13357,9238,15
34337,59257,7
1446,29088,5
48572,29817,10
10179,18815,9
58329,32202,8
49198,47427,10
52400,32368,11
39364,59590,6
47558,5746,13
11764,50575,6
39573,35831,6
12753,41203,17
39701,11162,0
9092,34405,4
11023,13497,4
35074,37494,7
57181,57834,8
15541,1799,12
51713,20858,17
46648,9210,13
44378,34811,12
10835,47448,9
11480,24003,9
18634,23926,2
21467,10318,9
53881,22003,3
17804,7975,17
15840,8727,6
40341,8338,12
4444,29502,9
28094,7979,9
19738,54628,4
35838,59800,10
31038,16765,5
54795,54687,11
30001,15676,12
29520,17401,6
42294,59106,4
27848,6554,10
49368,39393,2
286,34005,11
13155,8113,0
29916,43206,10
17397,9878,13
8798,40422,12
24097,522,12
27571,59009,4
16408,38607,9
37111,59410,11
34440,55611,8
26607,44644,11
21948,21274,5
19211,14613,1
6935,1241,3
23542,58155,10
41223,33047,7
10943,51534,8
52879,59057,15
40641,41282,7
10304,9538,13
12558,16812,9
26659,29654,9
33710,51752,14
23804,10233,16
59560,53210,14
21672,48480,10
48588,28588,12
15906,28888,7
50817,2078,8
26965,24174,7
3101,2668,12
16760,2470,8
25582,9370,12
53036,24906,11
3061,17995,6
56393,43405,16
54974,35071,3
11291,25015,9
27182,19327,8
21253,40489,6
58684,32141,9
7629,21453,2
1520,41389,11
53985,36543,6
41967,52513,7
43734,2602,15
1783,10102,17
40824,5305,6
38214,35212,7
43779,45173,5
51702,32274,2
16403,48034,4
49477,31207,10
36516,3466,8
56328,49946,4
26769,39211,9
43399,20101,11
53979,24345,8
6427,39731,11
2346,23748,11
54907,37294,10
52821,30077,3
22385,23267,13
18367,18152,14
4793,50431,3
1976,48750,13
54914,4909,13
49419,49149,3
37252,8699,7
51899,13967,9
18456,51603,6
44311,13988,12
34330,43869,12
53500,28428,2
45293,50647,9
52346,27654,13
54428,27021,7
42330,40978,13
22146,20110,6
536,38217,11
7925,4405,1
52046,20463,1
12805,26891,6
39787,37539,17
53874,42821,5
11762,50191,17
33450,34382,14
58266,50766,6
12387,47718,5
42476,4473,7
56093,31008,13
2672,7056,17
24287,13258,12
46226,15778,13
50000,49212,10
37866,6661,18
7632,14595,2
6079,57057,3
2236,31515,7
9623,33399,6
45791,41476,6
22818,3555,12
21736,25167,0
13261,3078,8
20768,5996,10
35118,30209,10
24469,52081,4
18314,36560,1
36575,29765,6
57245,46433,3
40368,42308,9
21443,34935,9
49192,5102,5
41766,24503,9
45170,20465,8
39793,29498,8
51495,224,6
48809,19635,13
15053,3117,7
15696,54556,3
50050,15572,7
57468,37953,3
1859,45361,8
25814,36638,5
14889,34417,14
15377,37470,6
57884,50946,10
21237,45548,13
14369,31966,3
3905,11749,12
39664,52925,7
54446,51547,7
53082,35123,16
22953,13330,8
22180,31242,10
14325,30618,0
587,48819,5
36704,621,11
49711,28914,10
52428,40951,2
9099,54438,9
33496,30479,7
2719,57427,3
49053,7875,7
24200,31614,14
40773,57607,6
2618,28741,13
18829,14071,11
15499,38274,11
29944,43570,7
22195,38204,18
46246,31926,8
9789,3533,17
14556,52656,9
18521,56512,8
55768,20474,2
56765,8060,14
22784,36826,14
20784,24614,10
4338,28116,12
30060,19808,9
15771,18144,11
31667,17869,8
45654,45879,18
17962,20433,13
47189,38229,6
17413,23449,6
31031,53457,8
28745,50312,10
54651,4437,3
51359,49090,4
14774,43242,12
12497,34484,2
20694,47942,15
35939,5728,11
46686,13674,8
27483,21084,12
44191,17176,9
55796,45439,5
13279,22526,13
14837,32083,3
29308,28742,13
32310,4723,9
41870,50630,4
12221,59224,9
25799,27292,15
35369,7858,5
36732,26541,5
20351,24275,5
51394,56536,16
59488,1663,5
40708,14214,13
38616,8810,6
33534,43576,2
45903,36468,3
7540,28301,16
52312,37830,5
28390,59064,13
39041,5577,10
38301,15498,13
33032,19910,15
23194,23690,7
38277,52062,9
8701,19772,8
58987,45445,13
21792,14639,9
55450,30718,12
24901,1947,6
18687,9421,9
22958,48233,5
25043,1615,13
2863,52032,7
43822,19578,11
3703,41685,2
43921,52146,15
24918,3552,4
50406,28109,9
10841,4451,9
46145,14662,12
40689,21606,11
6256,21420,7
29685,26077,11
21460,21703,1
51934,19778,12
44824,17236,9
38721,3796,15
43578,53776,5
16958,31719,5
6794,36943,5
51958,26744,10
13104,22704,9
5015,35403,2
25869,41618,9
59514,34366,12
39548,35318,10
56732,27940,11
52423,17646,10
24544,298,10
52927,30219,9
23936,28489,4
7557,50512,8
30075,13526,11
36767,52165,11
51525,22373,6
3554,429,8
52377,15355,12
54902,54119,14
31524,38804,12
32403,39295,9
22765,27064,10
58191,37719,7
48973,11735,9
27718,50498,4
2658,13406,9
47049,44267,15
44113,28804,2
55429,36183,2
39367,2924,10
42218,44983,12
1222,31426,14
18255,36026,7
7591,33646,6
27894,52067,8
766,549,11
19803,45276,3
38767,7367,12
5470,14836,2
19790,22275,13
25139,26431,4
43397,56872,13
13352,29421,3
18164,30343,8
39507,8344,6
16007,43910,3
21584,40495,7
35383,47295,16
3396,19838,7
10636,32426,12
21688,57577,14
3801,2182,10
2378,44067,15
50436,7453,17
49897,44567,7
11325,39893,11
42280,31321,2
52460,54175,11
49132,40914,8
16940,45341,5
39562,28360,10
34343,13274,14
8661,52788,14
11551,51494,11
38492,16937,9
3791,13294,5
25969,58369,18
36916,40883,10
37277,3955,7
36089,25324,6
10934,58842,15
48461,41946,3
45385,43489,8
54239,46336,10
40590,55701,16
5387,24281,10
50081,56385,6
42409,28207,13
45241,21762,12
23321,28328,6
730,30670,14
23859,29305,11
32544,2768,16
9246,2030,10
30224,25296,10
43663,16860,17
2883,55773,7
30142,13893,15
6437,31728,12
8887,29335,12
21718,45344,14
26253,2160,6
14924,59828,4
50773,59143,2
39635,40576,8
42947,11261,7
3065,44942,11
16767,2656,11
28846,44116,14
18418,11524,8
48585,30870,15
43408,8262,7
52415,3584,11
23072,17360,6
32999,56616,9
46232,9004,7
57112,1561,4
31652,53923,12
19182,26249,12
38608,12867,9
4424,51059,5
23189,49089,7
54199,21798,5
57693,53615,0
55723,27599,10
13657,2233,4
25940,51029,1
51280,9829,12
22978,34512,1
19280,1722,6
56893,48194,8
31407,27204,10
37950,30181,9
57600,22868,8
55837,51711,6
37506,30498,9
23242,44322,10
36181,46327,16
9202,29529,13
33163,6454,4
23041,54220,4
461,2194,12
58938,21934,10
30645,41635,3
37344,30852,9
41285,31073,7
15970,34923,10
24332,23727,6
49564,42628,18
761,16575,14
15641,6450,9
10656,10211,10
57602,24794,10
36269,7956,8
59175,50768,5
18161,51878,15
35252,10693,5
22106,31810,9
13094,2466,9
29766,42153,6
49423,58413,13
1652,58591,8
42761,54187,9
17220,10283,2
7716,3822,2
12386,10983,6
18749,47223,7
2332,42855,11
9782,12991,12
35588,10268,7
13015,10249,11
14195,56980,6
21308,33801,8
6558,55886,6
16401,30230,13
13393,46824,13
33123,39399,14
5283,19251,14
56038,21920,11
34453,19833,7
36432,38258,9
23656,24031,7
9042,53277,12
40120,26459,3
56056,41290,10
8759,40398,16
42695,8182,14
34302,43209,3
55479,25968,8
45224,42234,12
23101,21660,6
5073,38086,4
54179,49139,10
52786,13928,9
6484,29624,6
44531,13132,4
26059,10390,4
4824,45986,15
35916,7933,10
511,55443,9
40367,47902,6
47794,41532,13
35773,8853,9
16249,6308,7
6182,42943,12
45671,16823,16
15683,32562,5
29354,21195,11
53945,18408,11
530,38841,10
32486,44033,3
56693,43954,10
869,42942,6
9607,35675,12
14278,35661,1
33677,15892,5
52200,52831,4
52807,30055,3
9029,52794,7
5727,12268,17
38358,17788,15
43439,52436,9
10964,35977,9
9458,10894,5
6413,20652,5
14879,8183,6
44816,10795,12
21013,25180,9
18772,31544,9
22011,49982,7
35301,33043,2
18344,35425,10
6384,34373,2
8134,26804,8
5315,14002,6
33321,12659,12
47592,48420,5
28657,36623,8
12144,6313,6
2692,4789,5
35714,56934,9
2016,12330,11
40084,4088,6
38092,43437,14
29435,15412,7
34726,59361,10
3102,48419,2
33051,58084,7
44342,53789,4
32621,487,9
58582,29959,12
57718,20844,10
22087,44306,2
51620,58744,10
37015,23266,11
37771,49180,15
39944,16890,6
33498,3221,7
30757,49688,5
8141,48544,17
53383,54770,5
41973,1272,17
53783,23098,13
11358,22242,5
14182,23941,16
1718,54240,5
54787,28518,12
40290,59335,9
55629,31158,7
24333,41773,6
10210,2104,5
15963,24361,13
39411,55254,2
48574,26317,1
20836,31472,9
27674,29610,9
34758,33889,12
2882,55974,3
45381,57505,10
22773,17912,10
24310,40649,5
43495,20285,5
5069,10944,13
51134,35572,10
47338,23268,3
9017,54021,10
41527,9302,10
28216,40468,7
55867,35289,7
38032,25461,6
51106,51484,11
65,22997,9
19489,28452,8
46773,7340,16
34947,59794,13
8354,6723,0
20655,50950,5
14789,22005,10
13286,3835,3
40549,56200,13
25561,44677,8
47307,36568,9
43563,36930,12
12959,57669,8
2208,13684,11
49866,39724,16
852,24486,12
55517,28350,8
1287,9468,7
2763,32309,17
35604,24051,16
34097,56668,1
24871,58862,11
53129,36961,9
46348,8316,17
49024,31725,14
20175,52866,7
57267,47680,13
6909,26707,13
45750,19199,13
42423,25320,11
23008,35461,12
57812,29156,10
34637,52322,16
46757,45469,11
50163,52706,14
33069,15887,3
47252,39356,10
6997,9379,11
34577,33311,17
23933,45765,12
30121,36402,13
42759,9585,4
25132,42825,12
56165,42267,8
13092,26817,7
28575,7281,7
58689,44907,6
52848,9444,15
52525,5097,10
19788,9887,10
18457,55759,12
7113,16752,15
26597,58088,9
39142,3701,12
41921,12982,11
45662,28365,2
42986,39842,10
5325,58919,11
53623,49075,9
50245,29338,16
56706,41825,10
23793,51657,4
57823,8137,13
35854,47269,15
52269,25524,4
46793,47987,17
43140,9590,4
46888,45004,14
17015,6055,6
55093,23742,9
38904,13321,8
16772,16841,8
24750,48884,8
51095,30356,11
58900,59061,8
42872,7945,15
26905,45136,3
1208,52217,14
21422,8054,12
22619,24966,4
5893,58601,11
56930,50188,13
23885,34198,7
46475,31384,9
16425,45071,15
26216,38111,11
53196,51070,16
53744,2801,6
49606,19898,2
53681,19501,11
41539,24248,8
39807,1926,5
58817,15281,11
42526,41043,7
25611,9840,6
54402,51409,10
31429,43907,10
59749,5554,15
53245,31754,8
12408,15002,8
42158,48347,11
12701,33195,9
36322,25708,7
9836,56115,8
23984,50593,10
48359,13649,7
8523,47036,8
11870,8601,15
47531,25002,7
26833,21683,11
24809,57844,4
21776,26233,13
49496,12105,12
10303,40942,12
32941,28720,12
35803,23948,11
20922,50182,9
24137,7309,15
12909,20988,2
16152,17750,10
13429,20825,18
40497,37069,7
7715,22042,11
14311,29198,8
28211,50857,8
54655,14807,5
22687,59022,14
37476,6001,6
42377,31193,10
55601,4171,6
10581,49076,2
14920,36708,15
58876,47768,6
5158,53751,10
30717,56848,5
52387,10499,14
15116,7674,13
14443,52537,10
46693,40624,10
48612,57515,8
2342,33028,5
17876,43744,12
15936,18381,9
7820,48787,12
11532,4624,0
30347,15710,9
13765,41012,4
48634,4914,11
35581,50295,6
47697,9459,1
20881,19365,13
30664,8874,11
33388,2930,14
12813,14710,14
19591,33780,16
41753,19019,8
16669,16626,11
25080,896,9
41597,9276,14
54153,37788,12
18573,22538,6
13388,35918,9
28440,30516,14
24288,18036,3
20567,34364,12
39865,17607,9
15522,53834,12
22113,2955,3
17030,43678,7
38212,11879,4
14955,40972,10
20108,9681,8
45201,18077,11
6043,17952,9
8688,49930,12
40013,52797,4
34149,14423,13
17749,25965,13
41469,17123,4
9534,33670,6
47788,23376,17
57958,22025,8
26119,29677,6
4576,3617,9
51051,10538,6
55754,45883,11
28583,37862,2
34647,24401,16
54004,11877,7
273,50558,14
35651,12005,6
10414,23985,16
19785,12263,11
51848,39415,6
40329,13683,4
43637,42051,11
32278,9081,13
42420,17,14
26371,13739,9
11011,25777,9
24819,7384,12
749,27324,12
39482,56829,14
16355,41850,3
19936,51877,10
49440,37573,8
37811,10780,16
36989,54309,9
19356,54968,7
53888,59076,6
34700,52665,11
58741,48068,5
35537,30212,6
34437,29281,17
29183,13759,14
24263,22941,16
1312,7950,10
15179,18004,7
51165,5595,18
44142,9355,6
2697,57767,17
32593,11127,13
15574,17351,2
34765,5050,14
47318,55704,6
49623,49916,3
26773,9044,13
52527,43109,13
19829,16795,10
15860,39481,18
18387,13275,11
22119,25717,10
39115,17790,3
49839,59178,5
57950,47756,4
44181,20441,5
13251,28316,7
22870,54040,15
32590,54517,11
55069,16551,6
29551,48784,3
9643,51798,4
35550,39888,4
12246,56572,4
22792,24783,5
8154,18790,3
653,17093,11
28986,17268,11
10646,30505,18
15977,39940,6
52446,10380,3
36421,51049,7
18551,32295,5
29150,44956,9
16145,38800,10
22752,37116,1
51597,3323,12
52375,31980,4
28224,58976,8
55830,28454,2
40162,46371,0
37020,8438,6
37,34298,7
7748,2754,8
56600,19373,10
37225,37153,1
35881,45143,10
6773,22984,9
4953,36081,3
35055,6887,10
29166,47368,8
46242,24606,4
40196,25551,3
38789,4182,6
54008,38495,6
21790,4879,16
36404,35557,10
1330,1984,11
40503,49125,15
45965,46660,15
35506,48230,14
28050,39514,6
7883,29151,4
31889,21927,13
11092,30297,9
1083,3322,18
44614,13474,1
51091,6489,6
44346,59795,6
12884,36049,15
37692,5271,4
50787,45486,11
49967,12404,6
52417,15680,6
21012,4740,5
6628,53745,10
36641,53766,11
36905,31694,11
53577,47911,7
27680,44661,3
49628,19713,4
8508,30080,4
6292,21279,0
49983,47838,12
9530,44427,8
29687,43007,7
34255,34441,8
53407,8278,4
163,3943,4
48051,20733,12
8241,558,5
7120,12865,11
59032,25263,15
57249,49756,12
32494,29319,8
50346,30512,9
50827,44414,3
5774,9586,10
29041,27343,1
22170,44945,9
27161,2962,10
46586,25894,6
51618,5346,8
49878,32526,1
8731,28112,7
32393,36093,8
39541,29786,8
52625,43500,1
46774,57935,11
11393,5157,10
39428,39782,10
25357,52137,12
52085,21143,4
4896,29592,11
20028,17285,2
20343,9689,8
21911,13647,5
26463,45596,3
54660,58287,5
30846,37599,10
40643,52882,8
10094,21801,15
2271,1387,7
48717,5843,9
39886,19944,9
59031,57846,13
15888,673,3
39858,55681,5
39887,22126,9
23601,43203,8
50830,43222,8
15156,49385,7
54488,15205,10
51709,56850,15
47218,42000,9
35164,56950,5
33209,25383,6
7472,11449,3
22830,22156,11
58806,43755,9
23737,32460,15
26176,55036,1
9810,46597,14
47773,18252,4
17377,43951,10
14818,26329,11
50761,27590,7
51199,45479,10
40524,40484,13
38971,55785,8
35460,49595,8
48650,35091,3
57564,37810,15
39089,22564,11
3129,12275,13
34148,8094,8
23638,11644,14
28797,15952,13
30532,15210,10
4459,54842,17
7932,52036,0
30520,59168,12
16090,26599,13
51587,46068,3
47421,31771,9
59865,45166,13
45570,15187,9
25001,58352,10
42866,54852,6
2845,35908,9
41040,40113,18
46652,23091,11
30632,21213,15
16646,14087,8
6269,681,9
16659,26046,10
28668,27869,5
2551,674,7
37046,18779,9
50881,26751,7
28961,29042,4
55685,1035,8
28048,50339,9
53676,51524,14
51215,19572,7
49352,13464,5
55147,25961,8
6309,31377,4
13965,51493,4
53338,46188,12
8479,25113,11
58561,16010,6
15822,11919,11
26194,38053,6
7041,56881,10
44008,33602,14
7248,31208,10
27782,33864,4
43948,37613,3
24533,51169,9
33391,52130,4
49619,3885,10
22679,46416,6
23732,57457,12
7612,55195,9
57599,45343,10
46164,17878,12
22626,59293,14
33439,24694,17
10565,54938,6
7962,9018,5
8711,17143,11
39241,20845,5
149,50752,12
10860,20937,12
28646,45587,10
40263,28695,2
25693,50064,14
59387,28082,8
17181,30599,16
37656,21384,8
57870,11044,12
35580,52267,11
13190,5551,8
42570,44591,8
37777,48374,7
55190,4858,10
23222,44946,11
50447,19474,4
18449,59092,10
2391,9440,7
11267,48971,5
52887,52564,5
27842,35953,11
34479,26860,11
32722,7921,9
56464,55314,15
35828,56784,10
41914,16169,8
29245,57686,1
58147,5787,4
51192,23600,15
38360,13839,8
17000,24621,6
13051,46400,10
32482,31178,4
7429,9787,8
58074,57005,1
8428,56012,5
2022,10420,3
57039,4174,13
43294,18370,4
5557,19534,15
14399,19258,6
6752,45673,15
18580,26010,15
57984,8329,17
20088,10060,4
21161,25630,11
12536,8717,10
11007,43961,7
42138,23332,7
20901,32187,10
26731,11030,2
21947,3317,10
11817,22863,8
3337,16609,7
26489,7754,14
4380,16488,11
25062,3983,15
21890,3640,7
53222,17327,4
21573,29058,5
58254,47377,5
31634,5953,9
56588,30809,8
36821,49741,10
52362,21714,4
38945,51063,11
36606,19901,10
51912,7731,13
5664,23218,12
13800,47610,7
38526,7840,6
30166,43349,8
231,52427,10
1374,41504,10
53551,24303,6
38172,22904,12
42643,10678,12
24194,10813,15
45873,59593,17
59637,7606,14
34876,59105,9
47837,29124,10
15716,14726,10
50371,26153,15
1177,4464,13
56764,30913,8
3919,33985,7
40440,32045,13
1991,48185,5
28072,51745,6
29679,12009,9
1841,14770,9
37172,12277,11
13192,16005,16
41452,47912,8
59052,33429,7
38508,23784,12
17565,51788,10
24638,41866,14
30564,6837,7
43958,54415,12
51916,49451,16
58194,24644,11
25198,18354,11
1118,57092,1
41901,32275,11
16433,7108,15
26280,35909,4
2687,43861,16
44694,54235,4
32602,24255,9
52395,53150,9
18198,47116,10
25195,14060,9
47453,33948,16
9386,46358,8
16961,59459,5
16138,49325,11
26399,16593,7
19746,21057,9
51649,27221,4
58586,11210,9
53918,34865,15
37036,48040,2
55975,45374,13
31540,40730,15
41542,41600,2
18256,850,5
55272,48239,14
6645,3456,1
40293,23624,18
33006,25563,14
19066,40886,8
50897,21900,8
40127,29637,10
29071,39235,5
820,47626,7
46385,56372,3
13695,38263,10
39984,34878,10
28043,45409,10
46834,392,6
620,45168,13
17414,6445,7
47322,489,8
16239,23394,9
29576,36306,17
17225,9872,7
40414,2434,9
57865,20835,5
12365,31897,4
25202,5314,3
38345,36676,9
2778,18805,10
8997,36605,10
46255,26921,18
44668,2619,5
10589,36699,11
38702,25066,13
49318,51350,7
45008,26355,5
8243,13027,11
59896,1588,5
29603,41066,5
27542,59631,10
50544,45370,18
43727,55581,8
10354,9271,4
7687,10306,9
12528,3618,13
19451,22363,11
38362,48675,12
45318,12838,7
57678,3784,17
28645,49710,18
23111,38112,17
38241,37974,5
14740,29232,7
7021,32976,12
45085,34747,4
35534,50330,7
2787,18249,12
25125,32733,15
18695,28700,5
39540,46065,16
35532,31644,14
20731,16710,7
49316,217,9
45231,47676,7
10157,5972,9
43974,52381,3
27133,4527,3
53098,47360,2
41550,577,8
19234,6945,6
29171,50452,4
53914,2903,11
1982,3399,11
5198,26251,9
48091,46851,10
16317,29724,15
18623,17967,11
48331,53422,14
26247,9309,11
918,49481,12
21299,21047,9
47271,17588,3
52236,22223,18
18046,11458,9
43939,52495,2
40153,3475,5
39132,20250,9
31067,15070,9
40479,40318,2
7846,59323,7
56135,44556,10
46842,51211,4
14223,37077,12
38827,9078,6
27711,44760,10
48010,44080,14
3836,15382,2
25974,17537,11
27217,40863,8
27256,34540,9
54344,17859,16
31660,22174,13
20996,7930,7
37691,52028,3
3990,25889,10
32357,45940,9
13005,6144,2
50302,12406,17
27175,11732,15
40323,30893,16
20629,34300,11
5532,2812,11
10528,14489,7
29073,4458,10
9873,57537,12
16237,41704,5
20525,56188,6
12683,35251,16
57383,31778,5
43221,13514,6
31388,16640,2
41125,53624,11
15287,57560,13
4186,4310,1
22382,21305,8
16294,34970,9
32705,1165,3
43488,25811,9
41744,58109,8
38331,18979,15
27683,26540,9
54155,14377,13
29495,56768,10
31414,55627,14
16818,22351,11
37442,2048,13
42935,26713,5
25191,17257,6
53499,8494,9
28125,10775,3
36092,3436,8
49126,6025,12
4419,38224,15
28065,53291,15
59038,1276,8
28689,1071,14
28335,44572,9
46566,31643,10
23649,56118,12
15812,53019,7
5593,19819,10
10104,38335,4
25952,22310,5
39974,45762,18
10124,15542,8
51152,35098,10
54081,3648,14
38911,23927,8
15434,23289,2
22359,4263,12
52361,58699,10
10077,41292,9
50286,52456,5
20887,47900,3
47434,34655,2
44770,3177,2
50492,33365,5
30640,14997,9
34913,36688,12
45886,1542,13
21235,42882,13
2575,42399,11
29745,34197,8
17054,41217,9
26116,39442,17
25315,49380,6
13355,37609,12
20888,9200,8
41743,5890,2
1340,43677,8
16703,21473,12
52107,5188,6
40578,7234,4
58313,3496,4
58803,31396,12
34048,8250,3
34238,49459,0
15564,1252,1
19218,21495,15
19674,64,5
20863,13790,1
4779,40892,7
12545,30945,9
55162,2213,13
21259,39206,11
13368,22782,14
28842,16981,11
42417,9706,11
50375,38921,14
50405,33191,5
6613,26510,5
28460,3492,9
51606,40809,10
58138,36271,9
11493,42271,4
16143,12718,9
21991,50277,9
12629,10842,10
22091,32639,14
52811,53123,4
23950,47436,15
18963,32183,7
28228,13943,6
39975,44592,9
6304,22473,7
6534,54250,11
14098,7718,7
57474,39851,6
16322,18206,10
19470,52126,8
57638,28877,10
28814,43566,2
54971,30139,13
29720,1135,7
18983,32552,10
8588,33185,3
13938,4000,12
32666,53565,9
3950,35899,13
35245,21935,13
14842,35747,14
5670,21198,13
59455,20705,12
32508,26809,5
55098,55919,6
9191,36610,17
46181,43618,8
59117,22946,9
48913,30832,3
46772,39812,4
52343,35230,12
41373,6315,11
47712,27721,11
28957,24017,6
9589,18289,12
4969,700,9
43844,34889,2
9185,52816,11
52662,30583,17
50408,35048,10
18061,56655,5
19145,27371,5
8001,6202,13
28077,58939,7
48501,27435,10
13982,17331,10
26306,22697,7
42544,17536,11
46706,21521,9
45321,26941,5
47637,4744,9
36508,50546,7
39322,31785,8
38687,8893,6
14819,8738,3
47087,29355,2
42646,55521,7
11173,885,14
30282,28353,9
46333,8737,8
55694,20817,4
50888,17632,9
5282,38173,13
44453,4020,8
7588,10904,6
49373,3900,5
36036,15221,14
31901,42481,7
6564,27879,10
37017,30954,7
58971,33300,12
12922,38587,12
32073,40001,15
37170,53798,14
33776,51451,1
28773,23131,3
6432,58875,11
10694,28426,12
34715,6485,16
22043,42013,9
7984,15991,13
52486,33183,8
14014,33254,8
45856,27296,11
31230,14398,12
40987,28343,4
38540,29581,7
17516,23951,9
44438,51879,16
31714,25405,12
48570,39352,7
4322,38059,7
39923,7208,14
11628,32296,10
45854,41839,4
47037,50828,6
43960,50751,1
42909,46337,11
36710,15645,16
1593,14581,15
35294,3516,0
22262,55151,7
46739,37731,12
12895,11977,5
3765,51109,8
3856,12426,8
58310,28108,7
10388,11931,16
32317,22910,2
44500,8233,7
6801,40821,8
31888,56831,10
50933,2780,7
51210,14337,7
3781,38376,15
11138,59184,12
58580,277,3
37251,7513,11
47683,50623,11
34622,55959,11
22550,17044,13
39890,53936,0
57339,38596,9
574,14991,3
1465,26531,10
54649,24754,6
54458,27577,8
35538,9676,8
1097,23329,12
21381,38461,3
50759,28179,12
35827,37299,10
4860,53393,17
34840,519,6
59305,58092,12
20815,10520,8
2041,9452,9
4891,17356,10
22733,17444,7
43146,9656,16
3571,35724,12
47622,52791,12
53735,16441,10
19147,14225,17
16273,12759,12
35165,5637,6
38385,30422,8
38998,4630,12
30556,6189,5
57959,40420,8
31532,30715,15
1012,34014,1
34645,53446,7
48078,54328,5
49466,2757,15
3591,12886,11
10628,1005,17
40475,27944,13
41446,46386,3
22096,40845,10
30723,48980,16
44959,12043,11
8209,20938,13
12133,25350,8
10570,4881,5
43136,24420,14
51418,52522,6
47236,17828,1
47647,12599,7
50250,33475,10
8017,28935,11
46625,48952,7
